title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
The Torch Is Passed: A Harding Family Story,£19.09,1,4eed62cf5f8d8edf,Books,£19.09,£19.09,£0.00,In stock (16 available),0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,4,31075275518532d7,Books,£23.89,£23.89,£0.00,In stock (16 available),0
The Art Forger,£40.76,3,80cfab6bcff3a244,Books,£40.76,£40.76,£0.00,In stock (16 available),0
On a Midnight Clear,£14.07,3,b757c0c361e689ce,Books,£14.07,£14.07,£0.00,In stock (16 available),0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,2,228f74b74f3a08ae,Books,£53.90,£53.90,£0.00,In stock (16 available),0
"Shobu Samurai, Project Aryoku (#3)",£29.06,3,0c27e6c3744fc14b,Books,£29.06,£29.06,£0.00,In stock (15 available),0
Modern Romance,£28.26,5,caf4fe9311f1dc59,Books,£28.26,£28.26,£0.00,In stock (15 available),0
The White Queen (The Cousins' War #1),£25.91,5,6875c5657661b2fb,Books,£25.91,£25.91,£0.00,In stock (14 available),0
The Song of Achilles,£37.40,5,e88fb1c9397cfb27,Books,£37.40,£37.40,£0.00,In stock (14 available),0
The Immortal Life of Henrietta Lacks,£40.67,2,f72f61ad6a5f12ed,Books,£40.67,£40.67,£0.00,In stock (14 available),0
The Dovekeepers,£48.78,1,3d76bc83c6b644c9,Books,£48.78,£48.78,£0.00,In stock (14 available),0
More Than Music (Chasing the Dream #1),£37.61,2,47d47155e89c8be7,Books,£37.61,£37.61,£0.00,In stock (14 available),0
Code Name Verity (Code Name Verity #1),£22.13,4,33a3e0e3ffde0dcd,Books,£22.13,£22.13,£0.00,In stock (14 available),0
Cell,£20.29,4,bfbb54bc8cdeed2b,Books,£20.29,£20.29,£0.00,In stock (14 available),0
Angels Walking (Angels Walking #1),£34.20,2,1fbb5f786e53a0ce,Books,£34.20,£34.20,£0.00,In stock (14 available),0
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,2,c1379d3744f1dd2c,Books,£56.48,£56.48,£0.00,In stock (14 available),0
A People's History of the United States,£40.79,2,1ad06aed9349af46,Books,£40.79,£40.79,£0.00,In stock (14 available),0
A Brush of Wings (Angels Walking #3),£55.51,1,01a177623cce9596,Books,£55.51,£55.51,£0.00,In stock (14 available),0
Rook,£37.86,4,44d97b6707dae3f0,Books,£37.86,£37.86,£0.00,In stock (13 available),0
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,1,14e44163678e24dc,Books,£26.20,£26.20,£0.00,In stock (12 available),0
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,£59.15,4,3063c7e95d0bf76f,Books,£59.15,£59.15,£0.00,In stock (12 available),0
The Children,£11.88,3,64fd010bf8d15096,Books,£11.88,£11.88,£0.00,In stock (12 available),0
One with You (Crossfire #5),£15.71,4,81ef44fcc5f454df,Books,£15.71,£15.71,£0.00,In stock (12 available),0
Without Shame,£48.27,5,ab60e6f5a63e1cfb,Books,£48.27,£48.27,£0.00,In stock (9 available),0
Watchmen,£58.05,4,d1848064c54e01c7,Books,£58.05,£58.05,£0.00,In stock (9 available),0
A Hero's Curse (The Unseen Chronicles #1),£50.49,3,c181ca8eabe7d18c,Books,£50.49,£50.49,£0.00,In stock (9 available),0
23 Degrees South: A Tropical Tale of Changing Whether...,£35.79,2,61cf7eb9d2cd8bb0,Books,£35.79,£35.79,£0.00,In stock (9 available),0
The Glass Castle,£16.24,1,47f4fd3e8e1dac05,Books,£16.24,£16.24,£0.00,In stock (7 available),0
The Drowning Girls,£35.67,3,7a10353c9c54cf7c,Books,£35.67,£35.67,£0.00,In stock (7 available),0
Team of Rivals: The Political Genius of Abraham Lincoln,£20.12,5,ba047a636b7d3793,Books,£20.12,£20.12,£0.00,In stock (7 available),0
John Adams,£57.43,4,68407606544d6f22,Books,£57.43,£57.43,£0.00,In stock (7 available),0
Good in Bed (Cannie Shapiro #1),£37.05,5,c00bc29a678a6efb,Books,£37.05,£37.05,£0.00,In stock (7 available),0
The Joy of Cooking,£43.27,4,d326e189b1210916,Books,£43.27,£43.27,£0.00,In stock (6 available),0
The Golden Compass (His Dark Materials #1),£18.77,1,d33824cb93ecab6f,Books,£18.77,£18.77,£0.00,In stock (6 available),0
The God Delusion,£46.85,3,2bc80eba94950873,Books,£46.85,£46.85,£0.00,In stock (6 available),0
Pride and Prejudice,£19.27,4,720c36b2bee4692e,Books,£19.27,£19.27,£0.00,In stock (6 available),0
Mere Christianity,£48.51,3,f38f37ed934d84b2,Books,£48.51,£48.51,£0.00,In stock (6 available),0
Fun Home: A Family Tragicomic,£56.59,4,56a34d0cec11d6b0,Books,£56.59,£56.59,£0.00,In stock (6 available),0
The Raven King (The Raven Cycle #4),£30.57,2,2e4fc5eacceec12c,Books,£30.57,£30.57,£0.00,In stock (5 available),0
Find Her (Detective D.D. Warren #8),£22.37,1,b28c7d07afa7063b,Books,£22.37,£22.37,£0.00,In stock (5 available),0
Evicted: Poverty and Profit in the American City,£42.27,1,75cc85cdbe9ad46b,Books,£42.27,£42.27,£0.00,In stock (5 available),0
A Game of Thrones (A Song of Ice and Fire #1),£46.42,2,03cbb67c0f990d87,Books,£46.42,£46.42,£0.00,In stock (5 available),0
A Clash of Kings (A Song of Ice and Fire #2),£10.79,3,89a89e76f3516357,Books,£10.79,£10.79,£0.00,In stock (5 available),0
The Tipping Point: How Little Things Can Make a Big Difference,£10.02,2,224fa77d4b248046,Books,£10.02,£10.02,£0.00,In stock (3 available),0
The Rest Is Noise: Listening to the Twentieth Century,£34.77,1,e2d47e82c50d41d9,Books,£34.77,£34.77,£0.00,In stock (3 available),0
The Purpose Driven Life: What on Earth Am I Here for?,£37.19,3,0e7beedf0ee9380c,Books,£37.19,£37.19,£0.00,In stock (3 available),0
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),£47.80,3,a8b0ea6490bc818f,Books,£47.80,£47.80,£0.00,In stock (3 available),0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),£57.48,1,8f5d16a5a9bd58b2,Books,£57.48,£57.48,£0.00,In stock (3 available),0
"The End of Faith: Religion, Terror, and the Future of Reason",£22.13,4,b3f2bc2cefb35f05,Books,£22.13,£22.13,£0.00,In stock (3 available),0
The Complete Poems,£41.32,5,23707d3ddf14a999,Books,£41.32,£41.32,£0.00,In stock (3 available),0
The Catcher in the Rye,£24.55,1,487449f4f6322f0f,Books,£24.55,£24.55,£0.00,In stock (3 available),0
The Case for Christ (Cases for Christianity),£47.84,1,970bd3316219e7dc,Books,£47.84,£47.84,£0.00,In stock (3 available),0
The Blind Side: Evolution of a Game,£53.71,5,cd3dcd83bb002e78,Books,£53.71,£53.71,£0.00,In stock (3 available),0
Seven Days in the Art World,£52.33,2,07806456878931bc,Books,£52.33,£52.33,£0.00,In stock (3 available),0
Sarah's Key,£46.29,1,5b2cd5b31a510848,Books,£46.29,£46.29,£0.00,In stock (3 available),0
Rogue Lawyer (Rogue Lawyer #1),£50.11,3,b4f5672f68ec3a83,Books,£50.11,£50.11,£0.00,In stock (3 available),0
Manuscript Found in Accra,£34.98,2,546da23278482b0a,Books,£34.98,£34.98,£0.00,In stock (3 available),0
Fire Bound (Sea Haven/Sisters of the Heart #5),£21.28,4,2ed3a794a70aa85f,Books,£21.28,£21.28,£0.00,In stock (3 available),0
Cosmos,£36.17,2,dbe33cf29ef1623d,Books,£36.17,£36.17,£0.00,In stock (3 available),0
#GIRLBOSS,£50.96,1,165affa7adb5eded,Books,£50.96,£50.96,£0.00,In stock (3 available),0
The Sense of an Ending,£31.38,3,4130678275eb7c8c,Books,£31.38,£31.38,£0.00,In stock (2 available),0
The Republic,£33.78,3,0ec9d2b018fb10d8,Books,£33.78,£33.78,£0.00,In stock (1 available),0
The Odyssey,£29.64,3,f0512adadffd2480,Books,£29.64,£29.64,£0.00,In stock (1 available),0
The Light of the Fireflies,£54.43,1,04e43893e32f9d29,Books,£54.43,£54.43,£0.00,In stock (1 available),0
The Iliad,£16.16,1,86d8bd7afa5b51b3,Books,£16.16,£16.16,£0.00,In stock (1 available),0
The Communist Manifesto,£14.76,3,18b4545a5ed15581,Books,£14.76,£14.76,£0.00,In stock (1 available),0
Lord of the Flies,£24.89,3,71a6471bbdac21d9,Books,£24.89,£24.89,£0.00,In stock (1 available),0
