title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
The Dirty Little Secrets of Getting Your Dream Job,£33.34,4,2597b5a345f45e1b,Books,£33.34,£33.34,£0.00,In stock (19 available),0
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,5,3bebf34ee9330cbd,Books,£12.61,£12.61,£0.00,In stock (15 available),0
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,3,56e4f9eab2e8e674,Books,£27.55,£27.55,£0.00,In stock (15 available),0
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,2,0e0dcc3339602b28,Books,£23.99,£23.99,£0.00,In stock (15 available),0
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,5,b96fc7a0ea7d4b45,Books,£38.85,£38.85,£0.00,In stock (14 available),0
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,1,8976d9161c027142,Books,£43.14,£43.14,£0.00,In stock (12 available),0
The Art of Startup Fundraising,£21.00,3,1c584f82a7a1c4f0,Books,£21.00,£21.00,£0.00,In stock (11 available),0
Born for This: How to Find the Work You Were Meant to Do,£21.59,5,816180220e8cb419,Books,£21.59,£21.59,£0.00,In stock (11 available),0
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,1,a2308a936e898d48,Books,£36.91,£36.91,£0.00,In stock (8 available),0
"Rich Dad, Poor Dad",£51.74,1,8486f61aa81a3daa,Books,£51.74,£51.74,£0.00,In stock (7 available),0
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,3,70c7c3ca7f9b2728,Books,£33.92,£33.92,£0.00,In stock (3 available),0
Rework,£44.88,2,8e9dd8431170c09e,Books,£44.88,£44.88,£0.00,In stock (3 available),0
