title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
The Secret Garden,£15.08,4,abbb492978ff656d,Books,£15.08,£15.08,£0.00,In stock (5 available),0
The Metamorphosis,£28.58,1,93379e3a2072a01b,Books,£28.58,£28.58,£0.00,In stock (5 available),0
The Pilgrim's Progress,£50.26,2,6053ddf69c967d5f,Books,£50.26,£50.26,£0.00,In stock (4 available),0
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,2,6587f46697fc4443,Books,£14.82,£14.82,£0.00,In stock (4 available),0
Little Women (Little Women #1),£28.07,4,deda806b68b0aa11,Books,£28.07,£28.07,£0.00,In stock (4 available),0
Gone with the Wind,£32.49,3,23310ce84d3c9f85,Books,£32.49,£32.49,£0.00,In stock (4 available),0
Candide,£58.63,3,2798974abc8a58a8,Books,£58.63,£58.63,£0.00,In stock (4 available),0
Animal Farm,£57.22,3,1451b55e5e56bb89,Books,£57.22,£57.22,£0.00,In stock (4 available),0
Wuthering Heights,£17.73,3,5a7ff9aaa3168878,Books,£17.73,£17.73,£0.00,In stock (3 available),0
The Picture of Dorian Gray,£29.70,2,b9f6305a3d650e2c,Books,£29.70,£29.70,£0.00,In stock (3 available),0
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,4,cad70d6ffd53912f,Books,£26.78,£26.78,£0.00,In stock (3 available),0
Beowulf,£38.35,2,3fb69f34e178d494,Books,£38.35,£38.35,£0.00,In stock (3 available),0
And Then There Were None,£35.01,2,cfe350b20d23b02b,Books,£35.01,£35.01,£0.00,In stock (3 available),0
The Story of Hong Gildong,£43.19,4,32d035df92ab9080,Books,£43.19,£43.19,£0.00,In stock (1 available),0
The Little Prince,£45.42,2,1aeca7d078d57deb,Books,£45.42,£45.42,£0.00,In stock (1 available),0
Sense and Sensibility,£37.46,1,35e44170702139a4,Books,£37.46,£37.46,£0.00,In stock (1 available),0
Of Mice and Men,£47.11,2,39592d9d72e717c4,Books,£47.11,£47.11,£0.00,In stock (1 available),0
Emma,£32.93,2,2e69730561ed70ad,Books,£32.93,£32.93,£0.00,In stock (1 available),0
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,1,cd2a2a70dd5d176d,Books,£55.53,£55.53,£0.00,In stock (1 available),0
