title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Unicorn Tracks,£18.78,3,7ae099f3898e0209,Books,£18.78,£18.78,£0.00,In stock (16 available),0
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,3,c849f0b2f5d6a742,Books,£25.02,£25.02,£0.00,In stock (16 available),0
Princess Between Worlds (Wide-Awake Princess #5),£13.34,5,0e691eda369f4e09,Books,£13.34,£13.34,£0.00,In stock (16 available),0
Masks and Shadows,£56.40,2,fa9610a50a1bf149,Books,£56.40,£56.40,£0.00,In stock (16 available),0
Crown of Midnight (Throne of Glass #2),£43.29,3,7267864328ae8b9d,Books,£43.29,£43.29,£0.00,In stock (16 available),0
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,2,6d5300b2d8f37e07,Books,£28.09,£28.09,£0.00,In stock (16 available),0
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,1,01d2001ac1e6f8a3,Books,£52.37,£52.37,£0.00,In stock (16 available),0
Throne of Glass (Throne of Glass #1),£35.07,3,590a9cccf7db9f7d,Books,£35.07,£35.07,£0.00,In stock (15 available),0
The Glittering Court (The Glittering Court #1),£44.28,1,2dbb7ec08cdd7f3c,Books,£44.28,£44.28,£0.00,In stock (15 available),0
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,1,4ce91d31c1e57c33,Books,£42.98,£42.98,£0.00,In stock (15 available),0
The Star-Touched Queen,£46.02,5,1528279aec1f3dce,Books,£46.02,£46.02,£0.00,In stock (14 available),0
The Hidden Oracle (The Trials of Apollo #1),£52.26,2,992974ba6a0536ea,Books,£52.26,£52.26,£0.00,In stock (14 available),0
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,4,dc6f688b82e42a5b,Books,£44.73,£44.73,£0.00,In stock (14 available),0
Island of Dragons (Unwanteds #7),£29.65,1,2b52334fab158861,Books,£29.65,£29.65,£0.00,In stock (14 available),0
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,5,3c6fe637a0180b01,Books,£37.51,£37.51,£0.00,In stock (14 available),0
City of Glass (The Mortal Instruments #3),£56.02,4,966ebb738e0f9d9b,Books,£56.02,£56.02,£0.00,In stock (14 available),0
Searching for Meaning in Gailana,£38.73,1,2f0213137a80d485,Books,£38.73,£38.73,£0.00,In stock (13 available),0
The Star-Touched Queen,£32.30,5,4a7a25be293ad678,Books,£32.30,£32.30,£0.00,In stock (12 available),0
A Shard of Ice (The Black Symphony Saga #1),£56.63,3,63d5f1651880dcea,Books,£56.63,£56.63,£0.00,In stock (9 available),0
King's Folly (The Kinsman Chronicles #1),£39.61,5,4c82371b8cd02d4d,Books,£39.61,£39.61,£0.00,In stock (7 available),0
Every Heart a Doorway (Every Heart A Doorway #1),£12.16,5,4fa75fc6829431ca,Books,£12.16,£12.16,£0.00,In stock (7 available),0
A Gathering of Shadows (Shades of Magic #2),£44.81,4,d1378a0ad06ff979,Books,£44.81,£44.81,£0.00,In stock (7 available),0
The Raven Boys (The Raven Cycle #1),£57.74,4,e0b3a679b83caccc,Books,£57.74,£57.74,£0.00,In stock (5 available),0
