title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Soumission,£50.10,1,6957f44c3847a760,Books,£50.10,£50.10,£0.00,In stock (20 available),0
Private Paris (Private #10),£47.61,5,b12b89017878a60d,Books,£47.61,£47.61,£0.00,In stock (17 available),0
"We Love You, Charlie Freeman",£50.27,5,8d455c7539795d2a,Books,£50.27,£50.27,£0.00,In stock (16 available),0
Thirst,£17.27,5,709822d0b5bcb7f4,Books,£17.27,£17.27,£0.00,In stock (16 available),0
The Murder That Never Was (Forensic Instincts #5),£54.11,3,d01ac97e2b8947c2,Books,£54.11,£54.11,£0.00,In stock (16 available),0
Tuesday Nights in 1980,£21.04,2,b8736690cf263a3c,Books,£21.04,£21.04,£0.00,In stock (15 available),0
The Vacationers,£42.15,4,fd3a622648667296,Books,£42.15,£42.15,£0.00,In stock (15 available),0
The Regional Office Is Under Attack!,£51.36,5,0651062381f0636a,Books,£51.36,£51.36,£0.00,In stock (15 available),0
Finders Keepers (Bill Hodges Trilogy #2),£53.53,5,edb3097e71330040,Books,£53.53,£53.53,£0.00,In stock (15 available),0
The Time Keeper,£27.88,5,e9906e2f0d189745,Books,£27.88,£27.88,£0.00,In stock (14 available),0
The Testament of Mary,£52.67,4,081305e6df719dff,Books,£52.67,£52.67,£0.00,In stock (14 available),0
The First Hostage (J.B. Collins #2),£25.85,3,a86972014275e072,Books,£25.85,£25.85,£0.00,In stock (14 available),0
Take Me with You,£45.21,3,2c04320e110a14a3,Books,£45.21,£45.21,£0.00,In stock (14 available),0
Still Life with Bread Crumbs,£26.41,3,fe44cc816576c652,Books,£26.41,£26.41,£0.00,In stock (14 available),0
Shtum,£55.84,4,830fb3967c74866d,Books,£55.84,£55.84,£0.00,In stock (14 available),0
My Name Is Lucy Barton,£41.56,1,727bf2b86b19ad88,Books,£41.56,£41.56,£0.00,In stock (14 available),0
My Mrs. Brown,£24.48,3,cc82685d9f49bc2c,Books,£24.48,£24.48,£0.00,In stock (14 available),0
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,1,caa2e5b3fb1b2d4c,Books,£28.90,£28.90,£0.00,In stock (14 available),0
I Am Pilgrim (Pilgrim #1),£10.60,4,aeff7b87a8e83ebb,Books,£10.60,£10.60,£0.00,In stock (14 available),0
Eligible (The Austen Project #4),£27.09,3,9eaf58b03a2779cc,Books,£27.09,£27.09,£0.00,In stock (14 available),0
Eight Hundred Grapes,£14.39,4,1d6dd0c87d90fe92,Books,£14.39,£14.39,£0.00,In stock (14 available),0
Dear Mr. Knightley,£11.21,5,94a958ea126cdcd5,Books,£11.21,£11.21,£0.00,In stock (14 available),0
Cometh the Hour (The Clifton Chronicles #6),£25.01,3,28cf0d1c51b491e5,Books,£25.01,£25.01,£0.00,In stock (14 available),0
Balloon Animals,£17.03,3,9b65f676984c9f0c,Books,£17.03,£17.03,£0.00,In stock (14 available),0
A Man Called Ove,£39.72,1,8682c03de6a844ff,Books,£39.72,£39.72,£0.00,In stock (14 available),0
The Silent Sister (Riley MacPherson #1),£46.29,5,ce1ae197ada2aec4,Books,£46.29,£46.29,£0.00,In stock (12 available),0
The Dinner Party,£56.54,2,c6ca293d4810e0d5,Books,£56.54,£56.54,£0.00,In stock (12 available),0
The Improbability of Love,£59.45,1,437d8dea9272d0a9,Books,£59.45,£59.45,£0.00,In stock (11 available),0
Mothering Sunday,£13.34,2,47e1b2d43f709995,Books,£13.34,£13.34,£0.00,In stock (11 available),0
Lies and Other Acts of Love,£45.14,1,469508882dfc1991,Books,£45.14,£45.14,£0.00,In stock (11 available),0
Daredevils,£16.34,3,f608c903c451f387,Books,£16.34,£16.34,£0.00,In stock (11 available),0
11/22/63,£48.48,3,a9d7b75461084a26,Books,£48.48,£48.48,£0.00,In stock (11 available),0
The Shack,£28.03,1,903a9f8090104c2c,Books,£28.03,£28.03,£0.00,In stock (9 available),0
The High Mountains of Portugal,£51.15,1,4f283dfcbeccc0d4,Books,£51.15,£51.15,£0.00,In stock (8 available),0
Miller's Valley,£58.54,2,bff270fe9c86a5a9,Books,£58.54,£58.54,£0.00,In stock (8 available),0
Hystopia: A Novel,£21.96,4,0bfdef63285d3019,Books,£21.96,£21.96,£0.00,In stock (8 available),0
The Bourne Identity (Jason Bourne #1),£42.78,4,d250657f0ebc5d73,Books,£42.78,£42.78,£0.00,In stock (7 available),0
Sister Dear,£40.20,4,7ffebdd1d5148aef,Books,£40.20,£40.20,£0.00,In stock (7 available),0
Memoirs of a Geisha,£49.67,3,dac4b5847454fd9b,Books,£49.67,£49.67,£0.00,In stock (7 available),0
Me Before You (Me Before You #1),£19.02,1,7a2b51f69e81c722,Books,£19.02,£19.02,£0.00,In stock (6 available),0
Deception Point,£40.32,4,4e3b183180e2a992,Books,£40.32,£40.32,£0.00,In stock (6 available),0
The Little Paris Bookshop,£24.73,3,dfd9ff1f343cdaff,Books,£24.73,£24.73,£0.00,In stock (5 available),0
The Firm,£45.56,3,ad84f18659e6bfe2,Books,£45.56,£45.56,£0.00,In stock (5 available),0
The Expatriates,£44.58,2,fe7210553d56c097,Books,£44.58,£44.58,£0.00,In stock (5 available),0
Siddhartha,£34.22,5,84bb29c53592ac40,Books,£34.22,£34.22,£0.00,In stock (5 available),0
