title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3,5674a18a29a43ced,Books,£30.52,£30.52,£0.00,In stock (19 available),0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,1,142d767a56a9254d,Books,£56.41,£56.41,£0.00,In stock (16 available),0
My Paris Kitchen: Recipes and Stories,£33.37,2,784bc2279baa878d,Books,£33.37,£33.37,£0.00,In stock (16 available),0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,4,72f9d5be3472d34e,Books,£14.02,£14.02,£0.00,In stock (16 available),0
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,1,7b75cc7f223791f4,Books,£40.11,£40.11,£0.00,In stock (16 available),0
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,5,e4c7f3487d17fd42,Books,£37.34,£37.34,£0.00,In stock (15 available),0
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,2,e28e330cbdf01126,Books,£37.60,£37.60,£0.00,In stock (15 available),0
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,1,96a38e7c813d8f1d,Books,£41.25,£41.25,£0.00,In stock (15 available),0
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,3,46c1530d7546ea6d,Books,£42.16,£42.16,£0.00,In stock (15 available),0
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,3,ddc8340dabc8641b,Books,£28.77,£28.77,£0.00,In stock (14 available),0
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,1,245e6bf08b8d2955,Books,£19.55,£19.55,£0.00,In stock (14 available),0
Barefoot Contessa Back to Basics,£28.01,1,999912e63a3262ae,Books,£28.01,£28.01,£0.00,In stock (14 available),0
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,5,0e0da9192a025efc,Books,£50.62,£50.62,£0.00,In stock (14 available),0
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,2,8bbd7df8a324f31d,Books,£11.53,£11.53,£0.00,In stock (13 available),0
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,5,76319fe9d8b465a3,Books,£20.10,£20.10,£0.00,In stock (12 available),0
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,1,a4eef523118805ef,Books,£38.77,£38.77,£0.00,In stock (12 available),0
Cravings: Recipes for What You Want to Eat,£20.50,3,2587c54f5530dafc,Books,£20.50,£20.50,£0.00,In stock (11 available),0
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,4,65cfc9f242c2984a,Books,£12.34,£12.34,£0.00,In stock (9 available),0
32 Yolks,£53.63,2,b1a227b7609ff263,Books,£53.63,£53.63,£0.00,In stock (8 available),0
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38,5,924438fc6cbec836,Books,£11.38,£11.38,£0.00,In stock (7 available),0
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),£46.01,4,2a9fcb3382d351c8,Books,£46.01,£46.01,£0.00,In stock (7 available),0
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,£28.25,2,eff5710404e2ff78,Books,£28.25,£28.25,£0.00,In stock (7 available),0
The Barefoot Contessa Cookbook,£59.92,5,6478ccb4416e6a5d,Books,£59.92,£59.92,£0.00,In stock (6 available),0
Better Homes and Gardens New Cook Book,£39.61,3,faf841f81c52638b,Books,£39.61,£39.61,£0.00,In stock (6 available),0
The Power Greens Cookbook: 140 Delicious Superfood Recipes,£11.05,5,f701fae56b645ef7,Books,£11.05,£11.05,£0.00,In stock (5 available),0
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,£24.91,5,12a90b90283b2e6d,Books,£24.91,£24.91,£0.00,In stock (5 available),0
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,£13.66,2,4672d10b9b1e7a05,Books,£13.66,£13.66,£0.00,In stock (3 available),0
The Smitten Kitchen Cookbook,£23.59,1,742702d662a71410,Books,£23.59,£23.59,£0.00,In stock (3 available),0
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",£34.32,3,311634df10651e05,Books,£34.32,£34.32,£0.00,In stock (3 available),0
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,£33.14,3,6c4d17a46cac8787,Books,£33.14,£33.14,£0.00,In stock (3 available),0
