title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Tipping the Velvet,£53.74,1,90fa61229261140a,Books,£53.74,£53.74,£0.00,In stock (20 available),0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,3,9beb96a2300109d7,Books,£29.69,£29.69,£0.00,In stock (16 available),0
A Flight of Arrows (The Pathfinders #2),£55.53,5,3a6fb983e2554023,Books,£55.53,£55.53,£0.00,In stock (16 available),0
The House by the Lake,£36.95,1,9287e238d7c3b06e,Books,£36.95,£36.95,£0.00,In stock (15 available),0
Mrs. Houdini,£30.25,5,a40723994f715420,Books,£30.25,£30.25,£0.00,In stock (15 available),0
The Marriage of Opposites,£28.08,4,52cf2a5933ec5d8f,Books,£28.08,£28.08,£0.00,In stock (14 available),0
Glory over Everything: Beyond The Kitchen House,£45.84,3,de4b403cb629a29f,Books,£45.84,£45.84,£0.00,In stock (14 available),0
"Love, Lies and Spies",£20.55,2,9546d537fbf99eb6,Books,£20.55,£20.55,£0.00,In stock (12 available),0
A Paris Apartment,£39.01,4,63343e287971bb0c,Books,£39.01,£39.01,£0.00,In stock (12 available),0
Lilac Girls,£17.28,2,bade9943ee01b63f,Books,£17.28,£17.28,£0.00,In stock (11 available),0
The Constant Princess (The Tudor Court #1),£16.62,3,24933c712f0bca2f,Books,£16.62,£16.62,£0.00,In stock (7 available),0
The Invention of Wings,£37.34,1,e6635f5b0a2c78db,Books,£37.34,£37.34,£0.00,In stock (6 available),0
World Without End (The Pillars of the Earth #2),£32.97,4,2e5b4ff08a75fd02,Books,£32.97,£32.97,£0.00,In stock (5 available),0
The Passion of Dolssa,£28.32,5,011674f4a3834b8d,Books,£28.32,£28.32,£0.00,In stock (4 available),0
Girl With a Pearl Earring,£26.77,1,5eff05e59f905a49,Books,£26.77,£26.77,£0.00,In stock (4 available),0
Voyager (Outlander #3),£21.07,5,7feac4000cbc5859,Books,£21.07,£21.07,£0.00,In stock (3 available),0
The Red Tent,£35.66,5,3c456328b04a8ee8,Books,£35.66,£35.66,£0.00,In stock (3 available),0
The Last Painting of Sara de Vos,£55.55,2,476c7972e9b41891,Books,£55.55,£55.55,£0.00,In stock (3 available),0
The Guernsey Literary and Potato Peel Pie Society,£49.53,1,4a0a276409968a73,Books,£49.53,£49.53,£0.00,In stock (3 available),0
Girl in the Blue Coat,£46.83,2,41fc5dce044f16f5,Books,£46.83,£46.83,£0.00,In stock (3 available),0
Between Shades of Gray,£20.79,5,155e42df837ee5ff,Books,£20.79,£20.79,£0.00,In stock (3 available),0
While You Were Mine,£41.32,5,8ceb5c6aed2c5f8b,Books,£41.32,£41.32,£0.00,In stock (1 available),0
The Secret Healer,£34.56,3,38f776ab9118aed7,Books,£34.56,£34.56,£0.00,In stock (1 available),0
Starlark,£25.83,3,e25164e5b3fe208b,Books,£25.83,£25.83,£0.00,In stock (1 available),0
Lost Among the Living,£27.70,4,d510567580c8be52,Books,£27.70,£27.70,£0.00,In stock (1 available),0
A Spy's Devotion (The Regency Spies of London #1),£16.97,5,19fec36a1dfb4c16,Books,£16.97,£16.97,£0.00,In stock (1 available),0
