title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Sapiens: A Brief History of Humankind,£54.23,5,4165285e1663650f,Books,£54.23,£54.23,£0.00,In stock (20 available),0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,1,9a9d6e9bc555731e,Books,£25.52,£25.52,£0.00,In stock (16 available),0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,1,a3d2a4250807f1e9,Books,£19.73,£19.73,£0.00,In stock (16 available),0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,2,7392c0032f92d816,Books,£36.28,£36.28,£0.00,In stock (16 available),0
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,1,de3f25248ba0789f,Books,£59.64,£59.64,£0.00,In stock (15 available),0
Zealot: The Life and Times of Jesus of Nazareth,£24.70,3,dd5bfa6cc2c0ecc3,Books,£24.70,£24.70,£0.00,In stock (14 available),0
A Distant Mirror: The Calamitous 14th Century,£14.58,3,d5e0526e1ab682a3,Books,£14.58,£14.58,£0.00,In stock (14 available),0
1491: New Revelations of the Americas Before Columbus,£21.80,3,6e8e5626ac4d279e,Books,£21.80,£21.80,£0.00,In stock (14 available),0
Brilliant Beacons: A History of the American Lighthouse,£11.45,3,7f5157bf53065d36,Books,£11.45,£11.45,£0.00,In stock (8 available),0
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,5,f16c2edb2a603f92,Books,£44.48,£44.48,£0.00,In stock (8 available),0
A Short History of Nearly Everything,£52.40,5,6c7fa6844380f50a,Books,£52.40,£52.40,£0.00,In stock (7 available),0
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67,2,774fa432bd7d9c47,Books,£39.67,£39.67,£0.00,In stock (6 available),0
Catherine the Great: Portrait of a Woman,£58.55,4,f3c70d296ec796c4,Books,£58.55,£58.55,£0.00,In stock (6 available),0
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,5,0d210d2448c3018f,Books,£42.91,£42.91,£0.00,In stock (5 available),0
The Hiding Place,£55.91,4,c4589ee5977a47be,Books,£55.91,£55.91,£0.00,In stock (5 available),0
America's War for the Greater Middle East: A Military History,£51.22,2,add33db6ff80db24,Books,£51.22,£51.22,£0.00,In stock (5 available),0
The Guns of August,£14.54,2,b5da59dd177eb36b,Books,£14.54,£14.54,£0.00,In stock (3 available),0
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,2,1812b8f5641287e3,Books,£43.70,£43.70,£0.00,In stock (3 available),0
