title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
The Long Haul (Diary of a Wimpy Kid #9),£44.07,1,f21effc079a2b38a,Books,£44.07,£44.07,£0.00,In stock (14 available),0
Old School (Diary of a Wimpy Kid #10),£11.83,5,02b74068fa98d8a4,Books,£11.83,£11.83,£0.00,In stock (14 available),0
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,4,b8a8ff84233f0570,Books,£25.98,£25.98,£0.00,In stock (14 available),0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,5,fbb21a2f71f4d981,Books,£14.75,£14.75,£0.00,In stock (14 available),0
Dress Your Family in Corduroy and Denim,£43.68,3,7e9068872228c474,Books,£43.68,£43.68,£0.00,In stock (9 available),0
Toddlers Are A**holes: It's Not Your Fault,£25.55,1,4242cc3d0437db12,Books,£25.55,£25.55,£0.00,In stock (7 available),0
When You Are Engulfed in Flames,£30.89,5,dab0196cd5fc8e5e,Books,£30.89,£30.89,£0.00,In stock (3 available),0
Naked,£31.69,3,54aeeb4610d3ae08,Books,£31.69,£31.69,£0.00,In stock (3 available),0
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",£55.50,5,190fbebbf798c31a,Books,£55.50,£55.50,£0.00,In stock (3 available),0
Holidays on Ice,£51.07,2,0cb4856be3694a57,Books,£51.07,£51.07,£0.00,In stock (3 available),0
