title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Rip it Up and Start Again,£35.02,5,a34ba96d4081e6a4,Books,£35.02,£35.02,£0.00,In stock (19 available),0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3,deda3e61b9514b83,Books,£57.25,£57.25,£0.00,In stock (19 available),0
How Music Works,£37.32,2,327f68a59745c102,Books,£37.32,£37.32,£0.00,In stock (19 available),0
Love Is a Mix Tape (Music #1),£18.03,1,adb5f51c2e2ab13f,Books,£18.03,£18.03,£0.00,In stock (14 available),0
Please Kill Me: The Uncensored Oral History of Punk,£31.19,4,4a823d80aa30dbb0,Books,£31.19,£31.19,£0.00,In stock (8 available),0
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05,5,39eefec3a8498dde,Books,£45.05,£45.05,£0.00,In stock (8 available),0
"Chronicles, Vol. 1",£52.60,2,4781b6bfd6f7a2c5,Books,£52.60,£52.60,£0.00,In stock (7 available),0
This Is Your Brain on Music: The Science of a Human Obsession,£38.40,1,bc209a900101f28d,Books,£38.40,£38.40,£0.00,In stock (5 available),0
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",£12.36,3,2ba5ccc84d35006c,Books,£12.36,£12.36,£0.00,In stock (4 available),0
No One Here Gets Out Alive,£20.02,5,3a95f5a2df4ff921,Books,£20.02,£20.02,£0.00,In stock (4 available),0
Life,£31.58,5,637e5a45062aa548,Books,£31.58,£31.58,£0.00,In stock (2 available),0
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66,2,a1985630339f4b3d,Books,£55.66,£55.66,£0.00,In stock (1 available),0
Forever Rockers (The Rocker #12),£28.80,3,e564c3f1a93ccf2e,Books,£28.80,£28.80,£0.00,In stock (1 available),0
