title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5,4c28def39d850cdf,Books,£40.30,£40.30,£0.00,In stock (18 available),0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3,3c039985229453bf,Books,£31.05,£31.05,£0.00,In stock (18 available),0
Reasons to Stay Alive,£26.41,2,c8f7f0cb1abb9cac,Books,£26.41,£26.41,£0.00,In stock (17 available),0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,5,c27f6e1f185b0383,Books,£23.11,£23.11,£0.00,In stock (17 available),0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,4,d170b5a0da46380e,Books,£44.18,£44.18,£0.00,In stock (16 available),0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,3,7858914fad68493c,Books,£31.12,£31.12,£0.00,In stock (16 available),0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,3,0da9aa9d24677fc0,Books,£16.77,£16.77,£0.00,In stock (16 available),0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,1,acd86a5426e21ca0,Books,£37.13,£37.13,£0.00,In stock (16 available),0
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,1,a30b270e25489e5c,Books,£56.06,£56.06,£0.00,In stock (16 available),0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,4,87b0615b6e1f4d7b,Books,£41.83,£41.83,£0.00,In stock (16 available),0
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,2,d7310206583a54b6,Books,£19.83,£19.83,£0.00,In stock (16 available),0
In the Country We Love: My Family Divided,£22.00,4,b136b1b180ca753a,Books,£22.00,£22.00,£0.00,In stock (16 available),0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,2,311c0dd0e354a33e,Books,£54.35,£54.35,£0.00,In stock (16 available),0
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,5,bee3672891cca906,Books,£29.14,£29.14,£0.00,In stock (16 available),0
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,1,38d45839cb1c83c1,Books,£30.81,£30.81,£0.00,In stock (16 available),0
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,2,8ec14b1576cb7cb5,Books,£43.54,£43.54,£0.00,In stock (15 available),0
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,2,209adad1015af86f,Books,£38.21,£38.21,£0.00,In stock (15 available),0
