title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Sophie's World,£15.94,5,6be3beb0793a53e7,Books,£15.94,£15.94,£0.00,In stock (18 available),0
The Death of Humanity: and the Case for Life,£58.11,4,bd261725b99f5983,Books,£58.11,£58.11,£0.00,In stock (16 available),0
The Stranger,£17.44,4,f5a92cff83897d48,Books,£17.44,£17.44,£0.00,In stock (15 available),0
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,1,d56d0710668bb39c,Books,£54.21,£54.21,£0.00,In stock (8 available),0
Kierkegaard: A Christian Missionary to Christians,£47.13,1,0cf57cb49272fd37,Books,£47.13,£47.13,£0.00,In stock (8 available),0
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,5,6b52904b2ab91bf6,Books,£29.93,£29.93,£0.00,In stock (7 available),0
Critique of Pure Reason,£20.75,1,429b4a811bef386c,Books,£20.75,£20.75,£0.00,In stock (5 available),0
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,1,b0e479be03911916,Books,£20.02,£20.02,£0.00,In stock (2 available),0
The Nicomachean Ethics,£36.34,1,5c10b64db3e4f228,Books,£36.34,£36.34,£0.00,In stock (1 available),0
Meditations,£25.89,2,4f19709e47883df5,Books,£25.89,£25.89,£0.00,In stock (1 available),0
Beyond Good and Evil,£43.38,1,08672cd59171d5e4,Books,£43.38,£43.38,£0.00,In stock (1 available),0
