title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
A Light in the Attic,£51.77,3,a897fe39b1053632,Books,£51.77,£51.77,£0.00,In stock (22 available),0
The Black Maria,£52.15,1,1dfe412b8ac00530,Books,£52.15,£52.15,£0.00,In stock (19 available),0
Shakespeare's Sonnets,£20.66,4,30a7f60cd76ca58c,Books,£20.66,£20.66,£0.00,In stock (19 available),0
Olio,£23.88,1,feb7cc7701ecf901,Books,£23.88,£23.88,£0.00,In stock (19 available),0
You can't bury them all: Poems,£33.63,2,55f9da0c5eea2e10,Books,£33.63,£33.63,£0.00,In stock (17 available),0
Slow States of Collapse: Poems,£57.31,3,b4fd5943413e089a,Books,£57.31,£57.31,£0.00,In stock (17 available),0
Untitled Collection: Sabbath Poems 2014,£14.27,4,657fe5ead67a7767,Books,£14.27,£14.27,£0.00,In stock (16 available),0
Poems That Make Grown Women Cry,£14.19,4,31001a1210623bd4,Books,£14.19,£14.19,£0.00,In stock (15 available),0
Night Sky with Exit Wounds,£41.05,1,cfeb1e1e0e695b58,Books,£41.05,£41.05,£0.00,In stock (15 available),0
salt.,£46.78,4,86cbddb61ea78bb7,Books,£46.78,£46.78,£0.00,In stock (14 available),0
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,5,aa35446aab16017f,Books,£50.89,£50.89,£0.00,In stock (14 available),0
Out of Print: City Lights Spotlight No. 14,£53.64,5,c0fc0cd215ee1724,Books,£53.64,£53.64,£0.00,In stock (8 available),0
Les Fleurs du Mal,£29.04,5,c44c5e1425475206,Books,£29.04,£29.04,£0.00,In stock (8 available),0
Howl and Other Poems,£40.45,2,b7870fa6dc088fbb,Books,£40.45,£40.45,£0.00,In stock (8 available),0
Leave This Song Behind: Teen Poetry at Its Best,£51.17,5,b74ee891e2a6dd69,Books,£51.17,£51.17,£0.00,In stock (7 available),0
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,5,3d250ab0f12be445,Books,£15.42,£15.42,£0.00,In stock (6 available),0
The Crossover,£38.77,4,b228042c088b1913,Books,£38.77,£38.77,£0.00,In stock (5 available),0
Booked,£17.49,5,b54d7416bb445989,Books,£17.49,£17.49,£0.00,In stock (5 available),0
Twenty Love Poems and a Song of Despair,£30.95,4,e63c3f25338baf9a,Books,£30.95,£30.95,£0.00,In stock (1 available),0
