title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Chase Me (Paris Nights #2),£25.27,5,c2e46a2ee3b4a322,Books,£25.27,£25.27,£0.00,In stock (19 available),0
Black Dust,£34.53,5,00bfed9e18bb36f3,Books,£34.53,£34.53,£0.00,In stock (19 available),0
Her Backup Boyfriend (The Sorensen Family #1),£33.97,1,2a97cffe61c3c4c7,Books,£33.97,£33.97,£0.00,In stock (16 available),0
First and First (Five Boroughs #3),£15.97,4,9e28048cea8d41f7,Books,£15.97,£15.97,£0.00,In stock (16 available),0
Fifty Shades Darker (Fifty Shades #2),£21.96,1,7add3f8e49ec0826,Books,£21.96,£21.96,£0.00,In stock (16 available),0
The Wedding Dress,£24.12,1,623e1a180426039b,Books,£24.12,£24.12,£0.00,In stock (15 available),0
Suddenly in Love (Lake Haven #1),£55.99,2,203b7f94b7d6115f,Books,£55.99,£55.99,£0.00,In stock (15 available),0
Something More Than This,£16.24,4,ca71e72655bece85,Books,£16.24,£16.24,£0.00,In stock (15 available),0
Doing It Over (Most Likely To #1),£35.61,3,3a11bb962ff45b78,Books,£35.61,£35.61,£0.00,In stock (15 available),0
The Wedding Pact (The O'Malleys #2),£32.61,3,c5cb9f885d8b3621,Books,£32.61,£32.61,£0.00,In stock (14 available),0
Hold Your Breath (Search and Rescue #1),£28.82,1,0b165bd4b9f42fd5,Books,£28.82,£28.82,£0.00,In stock (14 available),0
Dirty (Dive Bar #1),£40.83,4,df7e628bad5782b4,Books,£40.83,£40.83,£0.00,In stock (12 available),0
Take Me Home Tonight (Rock Star Romance #3),£53.98,3,cf62fa272b5f0fa3,Books,£53.98,£53.98,£0.00,In stock (11 available),0
Off the Hook (Fishing for Trouble #1),£47.67,3,b783ce08802cd1d1,Books,£47.67,£47.67,£0.00,In stock (11 available),0
A Gentleman's Position (Society of Gentlemen #3),£14.75,5,40c4bf520c17de54,Books,£14.75,£14.75,£0.00,In stock (11 available),0
"Sit, Stay, Love",£20.90,3,bd087cf6a846db75,Books,£20.90,£20.90,£0.00,In stock (7 available),0
A Girl's Guide to Moving On (New Beginnings #2),£31.30,1,cf3b86489890b9f2,Books,£31.30,£31.30,£0.00,In stock (5 available),0
The Perfect Play (Play by Play #1),£59.99,3,9cc207168a03470d,Books,£59.99,£59.99,£0.00,In stock (4 available),0
Dark Lover (Black Dagger Brotherhood #1),£12.87,1,2b69d289279aabfd,Books,£12.87,£12.87,£0.00,In stock (4 available),0
Changing the Game (Play by Play #2),£13.38,3,aaebac5fda798b1b,Books,£13.38,£13.38,£0.00,In stock (4 available),0
A Walk to Remember,£56.43,1,aead11697d14ea36,Books,£56.43,£56.43,£0.00,In stock (4 available),0
The Purest Hook (Second Circle Tattoos #3),£12.25,1,969f6c7e86554814,Books,£12.25,£12.25,£0.00,In stock (3 available),0
The Obsession,£45.43,1,ee441c8e027caa66,Books,£45.43,£45.43,£0.00,In stock (3 available),0
Reservations for Two,£11.10,3,ecdf73ee66c33b17,Books,£11.10,£11.10,£0.00,In stock (3 available),0
Best of My Love (Fool's Gold #20),£27.41,2,67dea6c75d6a1075,Books,£27.41,£27.41,£0.00,In stock (3 available),0
Where Lightning Strikes (Bleeding Stars #3),£39.77,3,def389ddfda6991b,Books,£39.77,£39.77,£0.00,In stock (1 available),0
This One Moment (Pushing Limits #1),£48.71,1,d6d98d3508c30f57,Books,£48.71,£48.71,£0.00,In stock (1 available),0
"Rhythm, Chord & Malykhin",£28.34,2,9efb397067eb7e8a,Books,£28.34,£28.34,£0.00,In stock (1 available),0
My Perfect Mistake (Over the Top #1),£38.92,2,fd78f89878479f56,Books,£38.92,£38.92,£0.00,In stock (1 available),0
Listen to Me (Fusion #1),£58.99,3,6e712ea24e77bd96,Books,£58.99,£58.99,£0.00,In stock (1 available),0
Imperfect Harmony,£34.74,4,f28f7299d38c0932,Books,£34.74,£34.74,£0.00,In stock (1 available),0
Fighting Fate (Fighting #6),£39.24,3,6390772a3094939d,Books,£39.24,£39.24,£0.00,In stock (1 available),0
Deep Under (Walker Security #1),£47.09,5,0072b94dfa30608e,Books,£47.09,£47.09,£0.00,In stock (1 available),0
Charity's Cross (Charles Towne Belles #4),£41.24,1,a96404cb928895f3,Books,£41.24,£41.24,£0.00,In stock (1 available),0
Bounty (Colorado Mountain #7),£37.26,4,abc0b15f2c907ff0,Books,£37.26,£37.26,£0.00,In stock (1 available),0
