title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1,e30f54cea9b38190,Books,£37.59,£37.59,£0.00,In stock (19 available),0
Join,£35.67,5,18ad3ed896c7ce05,Books,£35.67,£35.67,£0.00,In stock (16 available),0
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,4,9270575728a13a61,Books,£43.30,£43.30,£0.00,In stock (15 available),0
The Project,£10.65,1,790ef197c8f236f5,Books,£10.65,£10.65,£0.00,In stock (15 available),0
Soft Apocalypse,£26.12,2,2a70769cdc6eb8b8,Books,£26.12,£26.12,£0.00,In stock (15 available),0
Sleeping Giants (Themis Files #1),£48.74,1,f435aa99d864077d,Books,£48.74,£48.74,£0.00,In stock (11 available),0
Arena,£21.36,4,2c34f9432069b52b,Books,£21.36,£21.36,£0.00,In stock (11 available),0
Foundation (Foundation (Publication Order) #1),£32.42,1,3fc124f59f3068e4,Books,£32.42,£32.42,£0.00,In stock (5 available),0
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,1,0e92ccf1bd39e68f,Books,£10.92,£10.92,£0.00,In stock (3 available),0
Ready Player One,£19.07,4,2ef5dc7e278e562a,Books,£19.07,£19.07,£0.00,In stock (3 available),0
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,2,4b3f4f151c99f472,Books,£33.26,£33.26,£0.00,In stock (3 available),0
Dune (Dune #1),£54.86,1,36d5884d44484277,Books,£54.86,£54.86,£0.00,In stock (3 available),0
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,1,98330e431e56a9ea,Books,£51.48,£51.48,£0.00,In stock (3 available),0
Three Wishes (River of Time: California #1),£44.18,2,460f97a346b44bac,Books,£44.18,£44.18,£0.00,In stock (1 available),0
The Last Girl (The Dominion Trilogy #1),£36.26,2,16c71736dae78764,Books,£36.26,£36.26,£0.00,In stock (1 available),0
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,4,6717a70913b3db79,Books,£34.96,£34.96,£0.00,In stock (1 available),0
