title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,4,aadee1c326d286e3,Books,£42.96,£42.96,£0.00,In stock (16 available),0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,5,e4f74c16de34d440,Books,£57.36,£57.36,£0.00,In stock (16 available),0
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,4,3edcccc4f341fb1a,Books,£44.74,£44.74,£0.00,In stock (14 available),0
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,1,148715df5a02ea5e,Books,£37.55,£37.55,£0.00,In stock (12 available),0
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,1,ca74f2e3c35a3e77,Books,£55.91,£55.91,£0.00,In stock (9 available),0
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,1,0c11e2d068768dbb,Books,£28.41,£28.41,£0.00,In stock (8 available),0
The Origin of Species,£10.01,4,0345872b14f9e774,Books,£10.01,£10.01,£0.00,In stock (7 available),0
The Grand Design,£13.76,3,3213b1f13f5f0f7c,Books,£13.76,£13.76,£0.00,In stock (5 available),0
Peak: Secrets from the New Science of Expertise,£16.28,2,6036239d2ab349b7,Books,£16.28,£16.28,£0.00,In stock (5 available),0
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,4,c6bf14cb901c63ac,Books,£13.03,£13.03,£0.00,In stock (3 available),0
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,5,63c0826ef59eae66,Books,£57.35,£57.35,£0.00,In stock (3 available),0
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83,2,61002f3b7ba5d780,Books,£25.83,£25.83,£0.00,In stock (3 available),0
Seven Brief Lessons on Physics,£30.60,4,281a244ce1954711,Books,£30.60,£30.60,£0.00,In stock (3 available),0
The Selfish Gene,£29.45,1,6f2c0a9adbb2bca9,Books,£29.45,£29.45,£0.00,In stock (1 available),0
