title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5,3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,In stock (19 available),0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,1,09555be379ad9253,Books,£16.28,£16.28,£0.00,In stock (16 available),0
This One Summer,£19.49,4,51653ef291ab7ddc,Books,£19.49,£19.49,£0.00,In stock (16 available),0
The Nameless City (The Nameless City #1),£38.16,4,7d385d34d12e60ff,Books,£38.16,£38.16,£0.00,In stock (16 available),0
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,2,53a3d11bb568cc8b,Books,£51.04,£51.04,£0.00,In stock (16 available),0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,3,c82a3e358c773c73,Books,£50.40,£50.40,£0.00,In stock (16 available),0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,5,0fa6dceead7ce47a,Books,£13.61,£13.61,£0.00,In stock (16 available),0
"Pop Gun War, Volume 1: Gift",£18.97,1,e80f8e518b300dfe,Books,£18.97,£18.97,£0.00,In stock (16 available),0
Patience,£10.16,3,9429b4d59c537af5,Books,£10.16,£10.16,£0.00,In stock (16 available),0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,4,889139b8e9c4cb36,Books,£15.44,£15.44,£0.00,In stock (16 available),0
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,1,11809b1d323b3057,Books,£48.41,£48.41,£0.00,In stock (16 available),0
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,2,460089f796fb3f82,Books,£46.91,£46.91,£0.00,In stock (16 available),0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,3,b6ee99bcf06fc91f,Books,£45.61,£45.61,£0.00,In stock (16 available),0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,2,57e5a4d515c8ce44,Books,£19.92,£19.92,£0.00,In stock (16 available),0
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,2,8d4eefad7a2b3915,Books,£29.17,£29.17,£0.00,In stock (16 available),0
I am a Hero Omnibus Volume 1,£54.63,3,1c89ae5bb804e4de,Books,£54.63,£54.63,£0.00,In stock (16 available),0
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,2,f2df3bb043a8abb0,Books,£22.11,£22.11,£0.00,In stock (16 available),0
Danganronpa Volume 1,£51.99,4,09b6cc87e62c2c58,Books,£51.99,£51.99,£0.00,In stock (16 available),0
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,4,8754c83ab2a7ae71,Books,£36.72,£36.72,£0.00,In stock (16 available),0
Camp Midnight,£17.08,4,7b599c8bfcdd8d30,Books,£17.08,£17.08,£0.00,In stock (16 available),0
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,2,bdf415fd484ea8a7,Books,£37.92,£37.92,£0.00,In stock (16 available),0
The Shadow Hero (The Shadow Hero),£33.14,1,d6361d16212664ed,Books,£33.14,£33.14,£0.00,In stock (15 available),0
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,4,65d034adf80834b7,Books,£41.62,£41.62,£0.00,In stock (15 available),0
Batman: The Long Halloween (Batman),£36.50,2,7edc0527cf782e19,Books,£36.50,£36.50,£0.00,In stock (15 available),0
Batman: The Dark Knight Returns (Batman),£15.38,5,47271d8e08b5d31c,Books,£15.38,£15.38,£0.00,In stock (15 available),0
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",£37.34,4,047097293bb4d1c0,Books,£37.34,£37.34,£0.00,In stock (14 available),0
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",£53.90,1,92275cedf6d8ee15,Books,£53.90,£53.90,£0.00,In stock (14 available),0
Through the Woods,£25.38,2,6e44bcbeac7f4360,Books,£25.38,£25.38,£0.00,In stock (14 available),0
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),£11.89,5,ac8e3949d284e9a9,Books,£11.89,£11.89,£0.00,In stock (14 available),0
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",£35.43,4,394f6d30cafc3edb,Books,£35.43,£35.43,£0.00,In stock (14 available),0
Robin War,£47.82,3,85b2176b3b194030,Books,£47.82,£47.82,£0.00,In stock (14 available),0
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",£25.48,2,31e2e2d9cca3778f,Books,£25.48,£25.48,£0.00,In stock (14 available),0
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",£38.39,2,71e36f33981ddb74,Books,£38.39,£38.39,£0.00,In stock (14 available),0
Lowriders to the Center of the Earth (Lowriders in Space #2),£51.51,2,a10c7515834240f3,Books,£51.51,£51.51,£0.00,In stock (14 available),0
El Deafo,£57.62,5,27c5968fe43cc06e,Books,£57.62,£57.62,£0.00,In stock (14 available),0
Batman: Europa,£32.01,2,bf68dcb5fad3cc8c,Books,£32.01,£32.01,£0.00,In stock (14 available),0
Art Ops Vol. 1,£48.80,3,ffdc825785c0ede8,Books,£48.80,£48.80,£0.00,In stock (14 available),0
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",£10.90,2,5319169a72714c62,Books,£10.90,£10.90,£0.00,In stock (14 available),0
"Fruits Basket, Vol. 9 (Fruits Basket #9)",£33.95,4,97187f5cf0385da3,Books,£33.95,£33.95,£0.00,In stock (9 available),0
Roller Girl,£14.10,5,aeb51dfbe8aeec59,Books,£14.10,£14.10,£0.00,In stock (8 available),0
"Fruits Basket, Vol. 7 (Fruits Basket #7)",£19.57,1,de6d7645f192d517,Books,£19.57,£19.57,£0.00,In stock (7 available),0
"Fruits Basket, Vol. 6 (Fruits Basket #6)",£20.96,4,97258f576d4bb672,Books,£20.96,£20.96,£0.00,In stock (6 available),0
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",£36.39,3,6e06d0f00f6da20f,Books,£36.39,£36.39,£0.00,In stock (6 available),0
"Fruits Basket, Vol. 5 (Fruits Basket #5)",£16.33,1,3fd83dcf37bf1bc0,Books,£16.33,£16.33,£0.00,In stock (5 available),0
"Death Note, Vol. 5: Whiteout (Death Note #5)",£52.41,1,1c0a38899c82b60a,Books,£52.41,£52.41,£0.00,In stock (5 available),0
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",£27.88,2,df53c2948b32bde3,Books,£27.88,£27.88,£0.00,In stock (4 available),0
"Fruits Basket, Vol. 4 (Fruits Basket #4)",£50.44,4,8fff1084aa085a13,Books,£50.44,£50.44,£0.00,In stock (4 available),0
