title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
In Her Wake,£12.84,1,23356462d1320d61,Books,£12.84,£12.84,£0.00,In stock (19 available),0
The Elephant Tree,£23.82,5,5dada2b7be26bd03,Books,£23.82,£23.82,£0.00,In stock (18 available),0
Behind Closed Doors,£52.22,4,be5cc846f45496fb,Books,£52.22,£52.22,£0.00,In stock (18 available),0
You (You #1),£43.61,5,024387ca4cafd5cc,Books,£43.61,£43.61,£0.00,In stock (14 available),0
The Guilty (Will Robie #4),£13.82,2,847935fc68707426,Books,£13.82,£13.82,£0.00,In stock (14 available),0
The 14th Colony (Cotton Malone #11),£39.24,1,1b8187fa4bf6ab05,Books,£39.24,£39.24,£0.00,In stock (14 available),0
Give It Back,£18.32,2,012170e4fc87ace0,Books,£18.32,£18.32,£0.00,In stock (6 available),0
Killing Floor (Jack Reacher #1),£31.49,4,8dde2ff3f6fcc0a3,Books,£31.49,£31.49,£0.00,In stock (5 available),0
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,3,9c4d061c1e2fe6bf,Books,£59.71,£59.71,£0.00,In stock (4 available),0
Far From True (Promise Falls Trilogy #2),£34.93,2,ad15a9a139919918,Books,£34.93,£34.93,£0.00,In stock (4 available),0
The Travelers,£15.77,1,2b685187f55c5d31,Books,£15.77,£15.77,£0.00,In stock (3 available),0
