title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
It's Only the Himalayas,£45.17,2,a22124811bfa8350,Books,£45.17,£45.17,£0.00,In stock (19 available),0
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,4,ce60436f52c5ee68,Books,£49.43,£49.43,£0.00,In stock (15 available),0
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,3,f9705c362f070608,Books,£48.87,£48.87,£0.00,In stock (14 available),0
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,2,1809259a5a5f1d8d,Books,£36.94,£36.94,£0.00,In stock (8 available),0
Under the Tuscan Sun,£37.33,3,a94350ee74deaa07,Books,£37.33,£37.33,£0.00,In stock (7 available),0
A Summer In Europe,£44.34,2,cc1936a9f4e93477,Books,£44.34,£44.34,£0.00,In stock (7 available),0
The Great Railway Bazaar,£30.54,1,48736df57e7bec9f,Books,£30.54,£30.54,£0.00,In stock (6 available),0
A Year in Provence (Provence #1),£56.88,4,9e60929f521fa280,Books,£56.88,£56.88,£0.00,In stock (6 available),0
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,1,366a236aa1ea6f07,Books,£23.21,£23.21,£0.00,In stock (3 available),0
Neither Here nor There: Travels in Europe,£38.95,3,747cf7fca2ccdbd4,Books,£38.95,£38.95,£0.00,In stock (3 available),0
"1,000 Places to See Before You Die",£26.08,5,228ba5e7577e1d49,Books,£26.08,£26.08,£0.00,In stock (1 available),0
