title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,4,fd8585283fc7d2d7,Books,£57.36,£57.36,£0.00,In stock (15 available),0
Will You Won't You Want Me?,£13.86,3,077b635ff2afc578,Books,£13.86,£13.86,£0.00,In stock (12 available),0
Keep Me Posted,£20.46,4,20dc4f1ac5d4fd9c,Books,£20.46,£20.46,£0.00,In stock (11 available),0
Grey (Fifty Shades #4),£48.49,4,b5953ca1f8a0b8d7,Books,£48.49,£48.49,£0.00,In stock (11 available),0
Meternity,£43.58,3,725cd8d23d78cdca,Books,£43.58,£43.58,£0.00,In stock (7 available),0
Some Women,£13.73,5,31f5bbf4974d29c9,Books,£13.73,£13.73,£0.00,In stock (4 available),0
Shopaholic Ties the Knot (Shopaholic #3),£48.39,5,38199c5d7da0c0ef,Books,£48.39,£48.39,£0.00,In stock (4 available),0
Can You Keep a Secret?,£21.94,1,0812f54c93d726ce,Books,£21.94,£21.94,£0.00,In stock (4 available),0
Twenties Girl,£42.80,2,8ebad30219b8679c,Books,£42.80,£42.80,£0.00,In stock (3 available),0
The Undomestic Goddess,£45.75,4,813cff2aefa5d1f0,Books,£45.75,£45.75,£0.00,In stock (3 available),0
The Nanny Diaries (Nanny #1),£52.53,5,6263c1d2997b8ce0,Books,£52.53,£52.53,£0.00,In stock (3 available),0
The Devil Wears Prada (The Devil Wears Prada #1),£44.29,1,a6ab0cb7106a67f2,Books,£44.29,£44.29,£0.00,In stock (3 available),0
Something Borrowed (Darcy & Rachel #1),£48.96,5,ac27ab4bcd9c492e,Books,£48.96,£48.96,£0.00,In stock (3 available),0
Something Blue (Darcy & Rachel #2),£54.62,1,3fc9d51d1c4d6ba7,Books,£54.62,£54.62,£0.00,In stock (3 available),0
I've Got Your Number,£19.69,1,6b32b561dab8036c,Books,£19.69,£19.69,£0.00,In stock (3 available),0
The Edge of Reason (Bridget Jones #2),£19.18,4,29fc016c459aeb14,Books,£19.18,£19.18,£0.00,In stock (1 available),0
Bridget Jones's Diary (Bridget Jones #1),£29.82,1,a2b4b685dfa94733,Books,£29.82,£29.82,£0.00,In stock (1 available),0
