title,price,star_rating,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,number_reviews
The Requiem Red,£22.65,1,f77dbf2323deb740,Books,£22.65,£22.65,£0.00,In stock (19 available),0
Set Me Free,£17.46,5,ce6396b0f23f6ecc,Books,£17.46,£17.46,£0.00,In stock (19 available),0
The Natural History of Us (The Fine Art of Pretending #2),£45.22,3,cedf82b5086e4691,Books,£45.22,£45.22,£0.00,In stock (16 available),0
Obsidian (Lux #1),£14.86,2,3c346ab1e76ae1f6,Books,£14.86,£14.86,£0.00,In stock (16 available),0
Burning,£28.81,3,5ceb951f629700a2,Books,£28.81,£28.81,£0.00,In stock (16 available),0
A Fierce and Subtle Poison,£28.13,4,842790dfaa937484,Books,£28.13,£28.13,£0.00,In stock (16 available),0
Scarlett Epstein Hates It Here,£43.55,5,1c929cfd16b71907,Books,£43.55,£43.55,£0.00,In stock (15 available),0
"Nightingale, Sing",£38.28,1,50b8f80311b31ede,Books,£38.28,£38.28,£0.00,In stock (15 available),0
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,5,ba54932df84e8cea,Books,£48.56,£48.56,£0.00,In stock (15 available),0
Frostbite (Vampire Academy #2),£29.99,5,116a2fdc9a45bab0,Books,£29.99,£29.99,£0.00,In stock (15 available),0
Wild Swans,£14.36,2,3fb15ace50d6142b,Books,£14.36,£14.36,£0.00,In stock (14 available),0
Until Friday Night (The Field Party #1),£46.31,2,aba2db9afb1469c7,Books,£46.31,£46.31,£0.00,In stock (14 available),0
This Is Where It Ends,£27.12,2,f0f38174a7e689a3,Books,£27.12,£27.12,£0.00,In stock (14 available),0
The Darkest Lie,£35.35,5,6edacfd1f8ebb9eb,Books,£35.35,£35.35,£0.00,In stock (14 available),0
My Kind of Crazy,£40.36,1,137b0b2775701e11,Books,£40.36,£40.36,£0.00,In stock (14 available),0
Don't Get Caught,£55.35,1,ad2887ce04583910,Books,£55.35,£55.35,£0.00,In stock (14 available),0
Catching Jordan (Hundred Oaks),£50.83,3,e2e7b683b4c15b7d,Books,£50.83,£50.83,£0.00,In stock (14 available),0
